AT,V,AP,RH,PE
11.88,41.58,1016.56,90.18,465.47
15.98,41.48,1017,55.73,456.31
27.17,61.02,1011.38,65.32,437.06
26.89,56.85,1012.27,43.84,436.44
26.88,79.74,1006.54,93.7,434.77
9.26,41.66,1016.87,73.32,483.51
10.32,40.35,1011.64,84.05,481.51
6.94,39.61,1017.74,81.43,480.07
8.53,40.02,1031.27,85.57,476.73
27.14,64.27,1012.71,54.4,441.68
10.16,41.79,1021.35,52.4,472.75
17.75,49.78,1004.49,100.09,452.02
22.89,62.39,1007.84,88.16,448.13
20.1,58.95,1018.46,80.87,446.7
25.06,52.36,1014.7,67.98,454.13
29.42,71.32,1002.26,67.13,437.47
24.96,77.54,1008.25,80.6,433.4
21.42,43.79,1015.76,43.08,462.19
25.36,74.99,1002.21,65.96,440.25
14.02,43.34,1016.06,85.8,466.38
25.72,66.86,1007.47,69.14,439.97
10.11,44.85,1014.2,84.81,478.71
27.61,59.54,1005.84,71.27,437.85
11.49,44.2,1018.79,91.14,475.51
15.24,48.6,1007.08,86.49,459.85
30.48,70.04,1010.73,53.7,429.85
20.98,43.77,1010.67,62.73,449.88
17.1,62.1,1020.39,93.63,453.4
22.35,63.94,1010.32,93.02,443.9
23.48,49.16,1002.7,70.22,445.72
17.66,60.08,1017.22,86.96,456.62
34.4,77.95,1009.83,57.86,430.87
15.8,53.82,1015.87,68.48,463.09
17.1,62.1,1020.39,93.63,453.4
7.01,40.72,1024,86.37,489.64
21.3,41.1,1001.86,42.75,455.13
32.19,69.13,1000.45,48.22,425.21
32.26,73.68,1014.75,60.9,426.48
21.14,67.71,1006.38,56.78,445.12
26.5,66.75,1018.48,61.62,431.23
12.28,42.34,1019.19,95.8,467.03
18.02,49.78,1003.86,100.09,451.41
19.2,61.27,1020.02,65.53,455.2
9.26,41.66,1016.87,73.32,483.51
30.02,69.04,1009.68,56.01,440.49
10.42,43.79,1016.22,90.75,474.79
33.58,77.54,1010.19,53.49,433.75
27.06,77.17,1008.71,90.6,432.2
16.25,58.16,1018.34,78.59,458.31
23.32,69.13,1010.75,91.84,435.27
5.17,39.33,1009.68,94.19,485.46
26.24,51.43,1011.32,59.52,447.91
15.39,42.28,1007.35,81.35,467.3
27.61,59.54,1005.84,71.27,437.85
21.69,47.45,1007.56,77.2,447.06
24.48,50.23,1017.03,66.89,456.02
26.92,62.44,1011.09,70.8,437.99
27.46,61.86,1012.39,66.09,439.72
19.18,65.06,1015.99,77.06,448.26
24.58,56.9,1007.08,68.24,437.16
8.95,38.56,1017.85,64.34,475.43
31.01,67.83,1007.95,43.57,429.46
14.6,53.82,1016.28,64.83,462.86
27.69,69.98,1008.52,60.93,433.47
25.97,43.21,1011.9,88.73,434.83
30.27,70.32,1007.93,51.61,430.22
17.26,49.78,1007.38,100.06,453.54
28.37,75.6,1017.48,55.19,439.25
29.43,66.75,1017.63,42.72,434.6
29.98,67.22,1014.22,52.69,445.3
30.62,66.54,1004.11,55.36,429.01
18.12,50.16,1009.82,100.09,453.29
17.73,40.55,1003.36,74.62,462.69
17.9,58.33,1013.6,85.81,452.28
18.62,59.15,1012.85,82.54,450.81
14.87,41.23,997.39,82.06,465.01
14.02,43.34,1016.06,85.8,466.38
25.45,72.24,1011.44,80.54,434.92
28.46,69.75,1009.46,79.75,435.75
10.39,40.96,1023.51,84.73,479
30.07,70.04,1010.84,55.74,426.35
27.83,69.04,1009.69,63.79,443.24
14.48,38.92,1015.6,90.05,470.63
15.21,35.4,1016.31,58.26,468.18
22.78,58.96,1013.65,57.06,452.03
15.54,41.96,1011.78,97.46,467.1
22.06,59.21,1012.84,87.06,442.31
14.93,39.16,1007.25,72.35,463.2
29.74,56.9,1007.15,41.91,438.76
18.23,62.26,1011.48,91.35,448.64
24.17,59.44,1012.66,78.53,447.13
21.38,58.33,1013.05,72.75,446.8
19.67,60.77,1017.33,88.13,444.87
29.35,68.51,1007.63,70.67,430.22
10.23,43.72,1011.18,97.93,471.61
29.29,57.19,1008.3,60.11,435.69
17.79,43.52,1020.65,68.29,458.57
6.16,39.48,1004.85,59.68,484.55
13,48.79,1017.14,85.23,464.12
10.47,44.21,1017.87,85.34,476.02
4.32,35.47,1017.8,88.51,488.03
23.27,64.69,1006.84,70.53,438.08
23.51,70.04,1011.02,81.39,435.78
15.4,38.73,1000.67,79.71,469.18
21.59,61.87,1011.18,57.21,446.58
6.02,43.65,1013.85,83.53,481.92
24.98,71.98,1006.59,90.61,432.06
26.04,52.84,1005.68,65.18,439.36
13.68,45.08,1024.91,85.26,467.02
28.96,75.23,1010.88,49.45,439.03
32.26,73.68,1014.75,60.9,426.48
8.53,38.18,1017.54,76.49,480.86
24.24,70.32,1009.38,82.83,436.45
14.73,54.3,1016.75,67.13,463.63
30.62,66.75,1017.68,53.68,432.66
16.51,51.86,1022.37,81.18,442.48
26.69,79.74,1008.29,73.79,431.41
13.33,38.47,1015.42,58.27,466.26
14.16,39.28,1015.63,77.29,471.27
11.93,41.38,1021.76,57.63,473.88
28.07,64.09,1005.41,64.09,436.61
9.75,35.76,1019.88,62.31,474.31
15.3,43.67,1011.75,95.31,468.14
13.16,54.3,1017.33,82.43,468.4
25.64,63.47,1012.33,68.35,442.62
12.42,40.24,1016.59,90.01,469.59
7.16,38.56,1019.17,70.1,486.12
9.2,40.03,1017.05,92.46,480.38
10.82,42.02,996.03,99.34,475.46
27.16,65.61,1014.21,47.93,441.33
25.11,67.32,1014.49,58.39,441.93
14.85,44.63,1020.67,75.76,460.06
14.42,44.66,1016.1,93.89,461.34
21.43,63.47,1011.95,94.47,448.17
18.4,50.16,1011.51,98.07,453.78
12.6,40.35,1011.89,80.88,475.42
25.52,69.75,1010.36,90.06,435.12
27.09,65.61,1014.22,48.13,442.94
24.89,66.49,1010.15,65.65,436.39
23.54,70.32,1010.89,80.76,434.45
30.27,70.32,1007.93,51.61,430.22
28.62,69.71,1009.67,62.12,437.52
32,73.17,1009.94,40.48,428.69
31.35,71.97,1008.29,72.26,430.16
27.09,59.15,1013.02,55.18,438.9
10.6,41.46,1021.23,89.02,481.3
29.25,71.94,1007.18,63.62,427.49
24.33,60.32,1015.49,59.95,445.36
24.11,68.3,1017.33,79.16,432.62
20.45,69.45,1012.53,91.81,441.83
22.25,60.77,1017.8,82.19,444.05
19.29,67.71,1007.94,63.71,449.28
17.29,52.72,1024.71,62.32,467.23
14.65,44.84,1023.39,87.76,467.18
18.68,62.1,1019.78,83.67,453.25
11.92,40.55,1016.91,100.07,472.45
10.46,41.26,1020.65,92.24,473.76
25.53,62.96,1019.81,59.7,444.38
20.04,48.92,1011.14,68.92,447.89
15.62,41.76,1023.82,66.17,459.72
18.5,47.03,1013.97,93.6,460.08
5.56,45.87,1006.99,96.48,476.61
19.85,56.53,1020.57,74.05,457.17
33.17,70.4,1004.45,58,430.14
27.11,70.04,1009.76,71.25,431.96
21.77,42.23,1013.03,67.44,462.51
22.25,43.79,1015.78,52.68,461.93
13.9,39.54,1007.01,81.33,471.16
27.23,44.05,1005.69,58.91,440.2
8.27,40.69,1020.13,86.1,484.97
18.78,63.09,1019.22,80.2,452.86
33.37,79.05,1007.19,62.64,430.42
27.05,59.15,1012.83,56.31,441.39
12.04,41.58,1018.02,88.91,464.45
7.3,43.65,1019.33,67.62,482.96
26.17,48.6,1002.59,61.41,439.86
27.22,68.3,1016.84,64.88,436.81
23.7,69.23,1011.73,73.18,437.15
9.89,40.64,1020.59,98.35,478.13
10.82,37.5,1009.23,96.62,473.9
16.5,44.63,1020.58,64.11,458.78
20.48,39.72,1001.61,57.32,455.58
11.6,39.1,1009.81,100.09,460.7
25.3,70.98,1007.22,95.1,440.86
18.13,66.86,1012.9,78.84,454.85
30.24,68.24,1009.68,64.67,426.25
29.25,67.32,1013.88,38.57,437.94
17,49.78,1005.32,100.1,453.77
13.21,40.56,1018.12,64.49,475.86
14.57,25.88,1008.92,69.16,464.11
28.31,66.17,1009.75,72.66,444.51
27.16,56.85,1012.07,39.05,437.4
10.86,44.85,1014.15,88.36,476.87
24.35,58.79,1010.13,72.1,448.19
25.24,67.45,1013.56,50.91,438.99
18.8,44.78,1009.65,46,462.79
14.6,42.32,1015.71,77.03,464.67
27.81,66.51,1016.11,48.48,439.48
25.63,71.58,1010.14,87.57,433.76
23.75,68.51,1013.21,76.01,441.61
31.7,69.13,1000.29,46.27,427.95
14.95,42.74,1027.66,66.71,464.31
23.05,65.94,1010.99,69.73,442.39
22.89,65.34,1015.53,61,450.53
25.25,58.46,1015.54,70.76,444.05
23.62,56.85,1011.11,64.44,442.96
7.32,41.22,1015.42,97.25,484.21
21.22,43.43,1010.96,61.07,448.06
24.52,59.15,1014.03,74.83,439.55
13.82,40.2,1013.19,90.11,466.99
14.1,41.04,1026.11,74.25,465.89
23.21,62.44,1011.78,76.66,442.47
23.65,66.05,1019.6,78.21,442.9
15.86,43.67,1011.11,82.24,465.46
13.08,41.74,1020.75,64.44,474.81
22.64,58.66,1011.68,60.97,449.79
29.56,71.14,1011.42,53.18,432.09
26.5,66.05,1017.03,61.34,440.15
25.99,49.82,1015.95,58.56,452.09
28.55,66.51,1015.46,34.04,432.59
24.35,73.17,1012.2,85.88,435.66
14.56,25.88,1009.46,78.22,466.29
15.67,38.62,1015.76,66.29,463.17
9.72,41.44,1015.17,84.41,481.85
28.04,74.33,1013.53,48.65,432.92
28.9,68.12,1011.87,46.56,438.53
31.1,69.51,1010.84,45.4,429.74
13.83,44.45,1021.5,68.75,462.6
6.31,42.07,1004.61,77.74,483.27
24.66,48.78,1018.39,71.79,449.11
22.37,50.78,1008.84,82.06,449.08
20.29,65.27,1013.17,74.94,445.52
17.79,46.21,1010.38,85.25,448.74
5,40.64,1021.05,94.84,485.27
16.05,65.46,1013.92,87.99,456.94
21.43,63.47,1011.95,94.47,448.17
16.18,41.66,1010.01,65.62,465.82
22.59,60.32,1016.84,78.58,447.17
24.22,49.82,1014.61,66.82,452.2
9.76,40.71,1020.88,91.82,470.95
27.84,68.08,1013.34,46.19,436.37
18.88,44.06,1013.81,68.54,451.13
23.39,68.51,1013.09,78.6,438.35
27.71,69.51,1009.65,58.38,435.04
12.14,48.04,1011.8,100.13,465.08
22.92,60.37,1007.05,89.94,438.86
32.41,58.9,1003.26,45.33,439.11
7.33,40,1018.96,80.76,478.16
28.26,63.13,1012,68.35,440.58
9.32,41.39,1020.03,70.21,481.88
21.74,60.27,1015.82,88.96,441.22
22.38,71.85,1009.56,74.91,441.47
14.04,40.56,1018.4,65.79,472.98
27.59,54.2,1013.1,51.61,439.31
11.92,38.25,1013.13,84.92,472.5
25.31,74.33,1015.04,79.88,436.21
31.63,65.74,1010.83,50.59,437.54
22.36,51.43,1007.47,87.33,442.53
11.92,43.8,1022.96,60.49,470.33
22.07,60.08,1017.68,71.23,452.56
24.8,65.48,1018.56,62.05,442.02
27.35,66.05,1017.62,55.26,439.6
27.62,71.14,1011.6,52.8,434.72
11.28,40.55,1006.23,97.78,475.14
21.32,45.01,1012.23,59.94,452.75
22.89,73.11,1006.66,73.11,440.15
8.87,41.82,1033.3,74.28,477.97
26.68,59.92,1009.94,70.57,438.67
12.85,41.14,1027.04,86.29,464.86
21.97,58.79,1010.93,86.7,448.8
26.12,75.6,1017.41,72.31,439.68
31.63,70.17,999.4,59.94,432.07
13.91,40.24,1017.03,85.93,466.24
23.51,57.32,1012.55,53.6,444.58
19.21,53.16,1013.18,81.64,454.01
25.84,69.14,1009.22,88.47,431.35
11.77,40.92,1021.85,81.55,467.31
22.99,62.96,1019.6,65.05,449.4
13.07,43.13,1016.93,70.02,471.47
31.16,67.45,1014.69,32.25,428.35
9.97,41.26,1020.6,91.14,475.43
6.14,39.4,1011.21,90.87,485.94
27.5,65.59,1011.23,65.37,441.27
22.79,44.57,1007.31,69.36,448.91
18.55,41.1,1002.02,65.16,459.97
26.51,70.32,1010.3,57.4,431.82
24.81,67.17,1007.71,84.37,442.75
10.91,41.04,1026.57,74.24,469.53
12.73,37.73,1021.89,61.76,470.89
11.11,37.5,1013.68,73.67,473.32
21.79,61.45,1011.11,91.78,446.99
10.4,40.43,1025.46,75.09,492.09
14.77,48.06,1010.92,69.81,461.52
20.08,62.52,1017.99,75.74,450.98
17.51,58.86,1016.78,83.63,453.2
15.43,41.1,1005.2,85.06,467.21
31.54,71.06,1008.4,71.77,431.87
25.72,74.67,1016.64,75.93,434.83
33.15,70.4,1003.72,53.98,430.15
12.34,43.22,1009.28,78.23,468.52
22.72,69.13,1010.81,92.43,438.01
10.57,41.26,1008.32,97.96,472.9
31.46,71.29,1008.57,41.79,430.8
24.52,56.85,1012.59,54.47,438.89
30.82,78.87,1012.06,70.69,432.01
9.28,41.38,1021.96,72.22,486.18
21.75,65.12,1015.53,66,452.89
19.28,65.46,1013.77,64.24,448.91
31.1,69.51,1010.84,45.4,429.74
7.29,40.96,1023.01,90.78,488.65
25.68,70.17,1001.38,85.89,433.92
29.47,71.32,1008.07,67,437.14
21.76,47.93,1005.34,86.28,444.77
18.15,58.46,1017.42,88.24,449.48
28.93,74.78,1009.48,56.4,437.34
15.5,39.16,1016.24,78.13,469.52
32.09,72.86,1003.47,54.59,434.78
32.22,70.8,1009.9,62.03,433.07
16.9,54.3,1017.97,60.57,460.57
14.57,44.45,1021.42,66.23,462.48
31.6,73.17,1010.05,43.48,433.37
19.98,60.77,1017.72,90.71,448.46
16.76,43.67,1011.27,70.55,462.44
25.28,49.5,1013.95,52.79,454.01
17.23,41.1,1002.45,68.88,464.18
18.93,67.71,1005.04,82.4,444.55
26.38,44.89,1009.14,51.79,442.13
23.71,60.23,1009.76,90.67,439.66
28.74,70.32,1008.15,45.99,431.93
32.8,68.67,1005.27,44.53,432.28
27.47,66.86,1006.1,70.2,437.45
23.22,59.15,1014.58,75.18,443.7
14.89,39.82,1013.23,82.49,470.19
10.12,38.38,1018.22,85.93,477.73
24.43,60.07,1015.59,59.99,444.71
21.73,69.05,1001.31,86.64,439.01
12.68,41.16,1020.09,83.32,464.93
31.4,70.32,1011.62,65.01,433.42
28.33,68.27,1008.09,50.37,432.66
14.45,44.84,1023.28,82.79,461
14.8,38.73,1003.18,80.73,467.54
10.32,42.28,1008.82,75.66,481.09
21.39,51.3,1013.39,89.05,452.7
16.66,41.16,1007.37,76.82,463.39
9.31,41.39,1018.3,93.68,480.25
12.18,40.1,1016.67,91.87,471.49
15.04,41.35,1004.29,99.1,467.96
16.3,38.73,1001.79,73.45,465.7
31.46,77.17,1009.26,59.61,435.56
24.66,57.43,1013.17,71.82,445.41
24.02,77.54,1008.33,83.92,438.52
10.94,39.04,1021.62,86.41,479.8
10.14,42.02,1003.19,96.51,472.17
26.98,43.77,1010.95,40.8,446.05
32.91,73.56,1007.02,55.03,434.03
24.25,74.93,1013.07,69.31,445.44
32.37,68.67,1005.45,47.98,430.35
26.69,59.21,1012.55,57.59,436.33
23.05,58.86,1013.84,62.21,445.46
18.39,67.71,1003.77,92.48,444.63
21.25,67.71,1006.9,55.76,444.98
9.27,40.22,1008.1,89.24,481.23
18.02,53.16,1013.41,82.84,458.01
32.13,69.98,1013.3,55.85,431.84
23.25,56.9,1006.82,76.37,442.76
18.13,66.86,1012.9,78.84,454.85
11.2,41.54,1019.94,67.18,479.03
12.77,36.71,1013.29,86.4,475.59
23.09,69.13,1010.93,90.07,436.67
27.51,73.77,1002.42,90.88,436.91
22.53,58.62,1016.28,72.78,449.02
9.78,52.75,1022.97,78.31,469.58
15.91,38.62,1016.2,63.63,462.25
16.11,44.92,1025.37,79.85,460.99
28.04,70.32,1011.28,78.16,435.42
15.67,48.78,1013.76,88.92,462.96
6.06,41.17,1019.67,84.7,489.62
21.76,47.93,1005.34,86.28,444.77
25.96,63.77,1013.24,65.43,445.26
23.05,48.98,1015.64,49.33,446.05
31.21,66.44,1008.57,65.76,430.7
12.29,42.18,1016.53,83.13,468.75
28.28,61.86,1012.07,64.49,439.65
23.72,58.62,1016.32,71.17,447.13
16.52,43.7,1015.08,58.36,466.73
19.36,68.61,1010.85,94.87,454.5
24.2,63.21,1012.25,79.86,449.03
16.76,43.67,1011.27,70.55,462.44
28.85,57.19,1008.2,58.4,436.8
23.63,73.5,1011.46,89.39,438.21
29.82,43.21,1011.52,63.54,433.31
19.72,44.78,1009.27,39.18,464.54
9.29,39.04,1022.72,74.29,482.55
26.05,65.27,1013.69,56.46,440.75
12.85,40,1015.89,68.85,463.74
18.28,41.1,1002,65.69,460.03
23.74,49.5,1013.2,49.51,463.4
14.46,42.86,1031.34,69.84,464.44
23.84,49.21,1013.1,44.72,445.44
24.73,70.72,1009.82,88.79,439.3
9.55,39.66,1018.8,74.88,480.74
20.07,42.23,1012.86,74.11,461.25
26.95,72.24,1011.16,73.14,435.65
26.18,52.36,1013.46,56.65,453.54
22.54,63.07,1011.71,81.64,442.28
26.64,62.44,1011.81,72.46,438.67
26.64,73.56,1004.98,93.31,432.93
16.77,50.9,1013.24,84.4,459.91
16.46,61.27,1020.02,74.54,456.64
29.67,71.98,1005.16,67.75,425.14
23.48,73.67,1007.07,88.49,437.19
9.49,40.69,1015.09,91.31,476.67
20.13,60.07,1014.79,63.57,453.49
31.92,75.33,1001.81,61.97,436.38
25.93,60.29,1017.62,50.03,444.04
14.2,43.02,1012.18,57.07,470.67
18.88,44.06,1013.81,68.54,451.13
11.01,37.5,1015.08,73.36,474.36
32.67,67.83,1007.81,42.16,425.75
5.48,40.07,1019.63,65.62,495.76
16.65,49.69,1014.01,91,460.03
24.05,61.87,1009.64,54.54,442.16
10.02,39.66,1016.34,79.98,480.05
6.43,36.08,1022.73,85.03,486.39
30.24,68.3,1016.21,48.25,431.82
19.78,63.09,1019.01,78.39,448.34
23.08,64.44,1014.85,69.95,448.61
24.91,52.3,1008.72,68.26,441.15
19.83,63.94,1019.81,75.05,448.03
15.81,58.59,1014.41,90.03,456.91
27.37,72.58,1008.16,79.94,428.05
28.69,67.79,1011.01,66.4,439.87
28.61,72.29,1011.61,45.33,446.77
25.77,71.37,1008.88,78.96,433.45
25,68.14,1005.35,57.13,437.67
11.61,41.17,1019.57,58.82,476.81
27.51,73.67,1005.71,76.75,431.97
19.89,44.9,1008.12,67.3,453.09
15.07,39.3,1019,63.62,464.7
24.02,64.63,1020.49,55.17,449.66
25.2,59.21,1017.54,55.53,444.16
27.01,63.78,1016.72,47.89,442.6
9.43,41.4,1028.03,84.98,474.16
13.07,38.47,1015.16,57.26,468.9
15.04,41.35,1004.29,99.1,467.96
27.94,69.84,1003.11,70.47,428.67
13.74,43.71,1025.45,86.62,465.24
19.08,58.59,1013.42,68.88,451.05
27.46,66.54,1002.39,67.09,431.81
11.68,40.55,1017.31,99.82,473.51
14.94,42.77,1018.9,73.95,462.67
33.63,70.4,1004.02,53.6,430.05
29.23,74.22,1008.49,57.88,428.9
22.45,59.87,1018.92,72.73,445.34
6.12,40.81,1014.77,88.15,487.24
14.55,44.84,1023.83,87.6,465.14
21.41,62.39,1007.84,88.83,452.8
8.96,40.05,1015.91,89.4,467.24
18.97,44.85,1014.86,46.31,466.17
16.77,42.28,1007.53,73.19,465.52
5.33,39.33,1009.61,94.97,491.17
19.3,65.59,1014.07,81.98,452.76
32.96,68.31,1010.39,42.33,443.57
24.67,70.94,1007.99,75.64,443.51
14.45,39.58,1012.41,79,467.62
16.73,43.79,1016.25,73.58,468.87
24.78,66.49,1010.55,68.12,436.62
24.47,48.6,1002.49,75.04,442.08
16.45,41.48,1016.64,45.21,454.69
7.33,40,1018.96,80.76,478.16
16.63,53.82,1015.18,66.09,458.29
26.55,73.67,1005.74,79.41,433.44
23.91,67.69,1008.28,66.71,439.84
9.33,42.49,1008.93,82.59,478.43
27.54,75.6,1018.26,57.89,440.87
20.01,43.77,1012.13,65.53,455.66
23.46,51.19,1009.6,73.22,444.82
6.65,38.5,1014.01,87.6,491.54
26.45,74.33,1013.81,61.7,433.16
25.77,59.39,1014.76,69.99,438.64
21.88,59.39,1015.58,87.19,442.92
9.57,52.75,1022.32,75.4,470.93
23.95,59.92,1010.15,86.37,435.92
30.65,65.18,1012.51,42.32,436.79
21.38,65.12,1015.73,68.02,448.5
19.09,42.44,1012.93,63.59,461.84
16.63,39.16,1005.85,72.02,460.29
30.02,73.5,1010.52,44.91,429.84
30.13,68.94,1005.88,40.71,441.78
7.82,40.72,1022.17,88.13,481.52
22.1,71.29,1008.2,75.38,442.35
6.97,41.26,1010.6,96.88,484.71
16.78,37.2,1011.97,68.94,471.24
26.41,60.93,1007.16,66.02,436.71
22.86,62.52,1016.23,70.67,447.96
14.4,42.99,1010.3,89.72,469.34
24.85,68.37,1006.5,68.37,442.66
23.97,62.44,1013.64,88.5,442.46
21.11,58.12,1015.38,77.78,453.28
21.85,63.86,1020.16,68.84,445.62
27.06,64.45,1008.72,54.21,443.1
24.3,69.94,1007.02,62.14,438.92
22.18,62.39,1007.84,85.74,452.31
15.48,53.82,1016.1,64.77,462.69
30.56,69.14,1007.49,71,432.26
26.28,68.14,1005.61,53.17,435.71
13.69,43.22,1009.94,74.64,466.72
18.36,56.65,1020.29,82,456.49
7.26,40.69,1020.43,90.22,474.91
21.63,71.85,1009.44,76.89,434.1
30.34,68.08,1010.85,49.4,428.34
28.54,71.94,1007.4,65.99,430.91
21.81,43.77,1011.97,64.72,453.13
21.99,71.85,1009.5,74.77,441.1
25.18,69.23,1013.26,57.45,438.72
24.16,48.98,1015.19,42.55,459.27
22.79,68.63,1012.99,55.78,446.16
30.51,60.75,1009.86,51,435.57
26.2,65.18,1011.42,47.82,440.07
14.47,42.99,1009.78,91.15,469
23.22,66.56,1002.47,85.39,437.11
29.45,64.96,1005.52,59.92,433.04
13.18,43.72,1010.59,99.09,464.7
17.99,43.72,1008.64,75.04,453.02
9.75,52.72,1026.03,78.53,473.41
22.93,51.19,1009.3,82.8,443.57
26.76,48.41,1010.53,47.38,440.63
15.83,52.75,1024.3,58.34,458.6
9.53,41.44,1018.01,80.09,481.83
10.8,41.62,1012.84,93.84,462.84
31.8,69.05,1000.77,49.82,426.5
14.72,39,1016.42,76.42,464.93
10.03,41.79,1020.35,66.42,475.42
30.16,69.34,1007.67,57.69,433.54
10.4,40.43,1025.46,75.09,492.09
20.89,68.63,1012.6,69.52,452.05
29.83,68.67,1005.33,71.15,434.28
29.3,69.48,1010.1,53.69,429.42
24.02,64.63,1020.49,55.17,449.66
31.3,67.17,1007.27,62.99,433.53
6.53,42.85,1012.65,91.6,480.98
30.15,69.88,1007.2,73.67,434.75
14.2,43.02,1012.18,57.07,470.67
15.67,38.62,1015.76,66.29,463.17
33.95,80.18,1010.3,56.69,432.22
27.15,73.9,1007.57,74.42,433.09
22.17,65.61,1014.71,70.91,449.91
9.82,36.18,1019.18,65.8,475.21
31.18,70.36,1006.38,56.74,438.46
28.32,77.95,1014.61,77.17,436.97
10.1,40.22,1007.1,90.36,478.43
20.17,58.12,1015.41,79.47,455.25
14.5,44.47,1028.2,66.95,465.15
26.41,65.59,1010.69,73.78,441.49
23.42,58.79,1009.74,81.54,441.46
25,69.71,1009.23,80.92,438.38
11.72,39.18,1024.19,68.53,468.98
31.61,75.08,1004.83,42.29,436.67
33.45,73.88,1006.23,44.14,435.48
17.98,53.29,1018.29,83.46,455.71
23.28,48.92,1010.23,41.55,449.27
1.81,39.42,1026.92,76.97,490.55
13.71,45.08,1023.35,82.93,468.43
24.61,69.68,1012.06,92.47,438.51
19.12,50.16,1011.52,99.71,451.49
14.94,41.35,1004.82,98.04,466.73
21.32,49.02,1008.81,85.81,445.65
25.44,75.23,1010.71,66.44,436.67
29.12,73.06,1009.98,80.21,434.9
27.19,64.27,1013.06,58.13,444.54
9.93,39.04,1023.78,77.08,480.54
21.94,62.52,1015.99,74.56,449.87
11.15,41.26,1022.67,81.83,473.57
23.56,60.77,1017.93,76.34,443.13
21.75,58.79,1012.42,87.58,447.58
21.75,45.09,1014.15,44.84,452.84
9.15,40.11,1023.82,75.4,475.01
14.51,44.84,1023.23,82.33,465.09
12.07,40.81,1025.63,68.02,475.96
19.35,43.43,1009.4,66.11,454.02
13.79,42.07,1018.27,88.06,462.25
28.84,74.67,1016.52,67.43,428.98
17.06,52.9,1019.76,80.9,460.82
31.82,71.29,1008.44,41.7,431.23
20.21,54.9,1016.82,66.56,454.23
6.49,38.68,1017.94,64.81,485.95
23.25,69.45,1013.85,70.14,437.18
30.54,69.14,1007.25,70.46,435.46
24.23,49.3,1003.61,74.44,440.65
12.14,40.83,1010.56,78.31,474.82
25.88,63.73,1009.48,77.17,438.42
10.38,37.73,1021.5,75.02,475.02
14.36,41.26,1021.16,73.43,462.25
15.07,40.69,1015.29,70.98,469.03
27.07,74.87,1010.09,58.97,440.47
21.18,45.01,1012.57,48.05,451.62
28.67,69.14,1008.24,72.68,433.79
22.1,65.48,1019.3,66.96,447
21.34,59.8,1016.92,77.06,450.74
27.39,66.93,1017.16,53.75,441.04
24.01,60.84,1018.83,63.82,436.32
25.24,67.45,1013.56,50.91,438.99
8.71,41.82,1033.08,74.53,477.94
25.9,47.45,1007.8,55.96,443.13
30.45,43.21,1011.35,63.59,438.68
21.43,59.14,1015.91,64.4,448.51
8.09,38.5,1012.99,67.31,484.81
16.71,46.18,1011.61,95.82,459.4
4.15,39.9,1008.84,96.68,491.22
9.39,39.66,1019.22,75.33,482.16
24.43,65.27,1013.25,55.4,440.99
19.46,56.89,1014.02,84.95,447.86
7.87,42.85,1012.18,94.21,480.54
23.78,69.71,1008.79,83.17,443.06
26.56,65.59,1012.6,64.25,443.66
7.39,39.85,1011.63,83.61,487.84
17.82,56.89,1014.24,77.73,453.83
22.49,71.29,1008.24,75.8,442.58
32.4,68.14,1004.44,34.53,425.91
11.7,25.36,1008.65,92.11,470.88
23.99,67.69,1007.9,78.57,437.1
11.7,41.16,1017.98,95.71,462.94
21.11,58.49,1011.6,80.44,449.16
28.61,69.84,1004.02,67.26,428.25
24.02,64.63,1020.49,55.17,449.66
20.38,66.54,1013.95,77.8,448.93
8.64,34.69,1026.79,80.88,482.15
28.45,69.23,1013.07,39.46,436.96
7.81,40.71,1023.32,82.08,475.46
28.18,49.3,1003.97,55.56,438.91
21.49,56.9,1007.47,66.66,452.46
28.15,71.25,1000.51,81.04,431.28
27.16,59.87,1011.78,58.84,446.38
20.64,49.21,1014.86,58.47,454.2
18.89,58.66,1010.96,84.07,453.33
27.28,72.58,1009.21,89.96,431.27
28.41,74.16,1010.29,72.09,439.2
10.68,38.38,1020.79,72.33,476.22
29.3,70.04,1010.95,61.23,426.25
20.37,54.9,1016.94,65.86,453.94
23.75,67.9,1006.25,70.17,445.22
11.6,40.27,1008.55,72.12,473.89
11.47,43.67,1012.68,72.51,475.72
26.82,75.08,1005.93,60.81,441.14
24.45,68.63,1013.38,45.35,446.33
21.13,51.43,1007.43,88.72,445.4
12.68,41.16,1020.09,83.32,464.93
31.77,76.09,1007.4,73.36,431.69
9.77,41.44,1017.69,78.26,481.74
21.31,69.05,1002.46,73.42,440.97
23.58,49.3,1003.8,74.62,440.44
6.58,40.07,1014.22,55.44,493.72
23.72,70.47,1010.65,75.39,438.5
10.6,40.22,1011.37,85.81,477.62
30.96,64.44,1013.63,49.64,437.61
10.84,39.18,1023.64,87.1,474.49
10.66,37.5,1009.42,95.86,472.86
19.69,56.65,1020.86,70.02,454.87
12.71,43.02,1012.25,62.68,475.38
14.85,38.91,1014.48,60.98,467.42
25.45,69.59,1008.51,83.17,445.61
27.6,69.34,1009.63,71.58,440.6
8.51,39.96,1026.34,96.1,475.96
20.25,44.78,1007.93,40.16,462.44
12.85,40,1015.89,68.85,463.74
7.29,41.04,1024.06,89.19,474.71
21.19,58.86,1014.19,68.96,452.43
31.13,64.05,1011.51,61.27,439.24
6.81,38.56,1016.5,70.99,487.45
